4/25/19
Time         Wind Dir   Wind Spd  Wind Gust   Humidity       Temp   Tot Rain Wind Chill Heat Index  Dew Point   Barom SL  DailyRain   HourRain   RainRate
                    °        mph        mph          %         °F         in         °F         °F         °F         in         in         in      in/hr
11:44am           310          5          7         21       69.1       8.35       69.1       67.7       27.6      23.60       0.00       0.00      0.000
11:46am           140          3          7         22       69.1       8.35       69.1       67.8       28.7      23.62       0.00       0.00      0.000
11:48am             7          2          7         21       69.5       8.35       69.5       68.1       27.9      23.61       0.00       0.00      0.000
11:50am             7          2          7         21       69.8       8.35       69.8       68.4       28.1      23.61       0.00       0.00      0.000
11:52am           100          2          7         21       70.1       8.35       70.1       68.7       28.4      23.61       0.00       0.00      0.000
11:54am           312          1          7         21       70.3       8.35       70.3       68.9       28.6      23.61       0.00       0.00      0.000
11:56am           309          3          7         21       70.4       8.35       70.4       69.0       28.6      23.60       0.00       0.00      0.000
11:58am           297          2          7         21       70.6       8.35       70.6       69.2       28.8      23.61       0.00       0.00      0.000
12:00pm           270          1          7         20       70.8       8.35       70.8       69.4       27.8      23.61       0.00       0.00      0.000
12:02pm             4          0          5         20       71.1       8.35       71.1       69.7       28.0      23.60       0.00       0.00      0.000
12:04pm             7          1          5         20       71.5       8.35       71.5       70.1       28.4      23.60       0.00       0.00      0.000
12:06pm             7          0          6         19       72.0       8.35       72.0       70.5       27.5      23.60       0.00       0.00      0.000
12:08pm             7          3          6         20       72.2       8.35       72.2       70.8       28.9      23.60       0.00       0.00      0.000
12:10pm             8          0          6         20       72.4       8.35       72.4       71.0       29.1      23.61       0.00       0.00      0.000
12:12pm             1          2          6         19       72.9       8.35       72.9       71.4       28.3      23.60       0.00       0.00      0.000
12:14pm             1          2          6         19       73.2       8.35       73.2       71.7       28.5      23.61       0.00       0.00      0.000
12:16pm           108          2          7         19       72.9       8.35       72.9       71.4       28.3      23.61       0.00       0.00      0.000
12:18pm           122          0          7         19       72.1       8.35       72.1       70.6       27.6      23.61       0.00       0.00      0.000
12:20pm           123          2          7         19       71.5       8.35       71.5       70.0       27.1      23.61       0.00       0.00      0.000
12:22pm            10          3          8         20       70.9       8.35       70.9       69.5       27.9      23.61       0.00       0.00      0.000
12:24pm            10          3          9         20       70.3       8.35       70.3       68.9       27.4      23.60       0.00       0.00      0.000
12:26pm            14          2          9         20       69.9       8.35       69.9       68.5       27.0      23.61       0.00       0.00      0.000
12:28pm            11          4          9         21       69.8       8.35       69.8       68.4       28.1      23.61       0.00       0.00      0.000
12:30pm            11          0          9         20       69.8       8.35       69.8       68.4       27.0      23.61       0.00       0.00      0.000
12:32pm            17          4          4         21       70.0       8.35       70.0       68.6       28.3      23.60       0.00       0.00      0.000
12:34pm            37          3          5         21       69.9       8.35       69.9       68.5       28.2      23.60       0.00       0.00      0.000
12:36pm            18          0          5         20       70.0       8.35       70.0       68.6       27.1      23.60       0.00       0.00      0.000
12:38pm            74          3          9         20       69.6       8.35       69.6       68.2       26.8      23.60       0.00       0.00      0.000
12:40pm             4          0          9         21       69.3       8.35       69.3       67.9       27.7      23.60       0.00       0.00      0.000
12:42pm            63          2          9         21       69.0       8.35       69.0       67.6       27.5      23.60       0.00       0.00      0.000
12:44pm           109          4          9         21       68.6       8.35       68.6       67.2       27.1      23.61       0.00       0.00      0.000
12:46pm            79          5          9         21       68.6       8.35       68.6       67.2       27.1      23.60       0.00       0.00      0.000
12:48pm            92          2          9         21       68.6       8.35       68.6       67.2       27.1      23.61       0.00       0.00      0.000
12:50pm            39          6          9         22       68.6       8.35       68.6       67.3       28.3      23.60       0.00       0.00      0.000
12:52pm             6          5         10         21       68.8       8.35       68.8       67.4       27.3      23.61       0.00       0.00      0.000
12:54pm             7          0         10         21       69.0       8.35       69.0       67.6       27.5      23.61       0.00       0.00      0.000
12:56pm             7          0         10         21       69.0       8.35       69.0       67.6       27.5      23.59       0.00       0.00      0.000
12:58pm            66          3         10         21       69.1       8.35       69.1       67.7       27.6      23.60       0.00       0.00      0.000
1:00pm              6          3         10         22       69.1       8.35       69.1       67.8       28.7      23.60       0.00       0.00      0.000
1:02pm              7          0          4         22       68.9       8.35       68.9       67.6       28.5      23.59       0.00       0.00      0.000
1:04pm              3          0          7         22       69.0       8.35       69.0       67.7       28.6      23.59       0.00       0.00      0.000
1:06pm              3          0          7         24       68.8       8.35       68.8       67.6       30.6      23.59       0.00       0.00      0.000
1:08pm              4          2          7         27       68.8       8.35       68.8       67.8       33.5      23.60       0.00       0.00      0.000
1:10pm              3          4          7         24       68.8       8.35       68.8       67.6       30.6      23.61       0.00       0.00      0.000
1:12pm              5          5          7         26       68.5       8.35       68.5       67.4       32.3      23.60       0.00       0.00      0.000
1:14pm              4          0          7         27       68.3       8.35       68.3       67.3       33.1      23.61       0.00       0.00      0.000
1:16pm              7          2          7         26       68.3       8.35       68.3       67.2       32.1      23.60       0.00       0.00      0.000
1:18pm             38          2          7         26       68.3       8.35       68.3       67.2       32.1      23.60       0.00       0.00      0.000
1:20pm              7          3          7         27       68.3       8.35       68.3       67.3       33.1      23.59       0.00       0.00      0.000
1:22pm              7          2          7         24       68.3       8.35       68.3       67.1       30.1      23.59       0.00       0.00      0.000
1:24pm              5          4          7         24       68.1       8.35       68.1       66.9       30.0      23.59       0.00       0.00      0.000
1:26pm              8          3          7         25       68.0       8.35       68.0       66.9       30.9      23.62       0.00       0.00      0.000
1:28pm              3          2          7         24       67.8       8.35       67.8       66.6       29.7      23.60       0.00       0.00      0.000
1:30pm              7          1          7         25       67.5       8.35       67.5       66.4       30.5      23.61       0.00       0.00      0.000
1:32pm              6          6          9         27       67.5       8.35       67.5       66.5       32.4      23.60       0.00       0.00      0.000
1:34pm              6          3          9         27       67.5       8.35       67.5       66.5       32.4      23.59       0.00       0.00      0.000
1:36pm              7          0         10         27       67.1       8.35       67.1       66.1       32.0      23.60       0.00       0.00      0.000
1:38pm              6          3         10         27       66.8       8.35       66.8       65.8       31.8      23.61       0.00       0.00      0.000
1:40pm              6          3         10         27       66.6       8.35       66.6       65.6       31.6      23.61       0.00       0.00      0.000
1:42pm              6          5         10         27       66.6       8.35       66.6       65.6       31.6      23.60       0.00       0.00      0.000
1:44pm              6          1         10         26       66.5       8.35       66.5       65.4       30.6      23.59       0.00       0.00      0.000
1:46pm              7          0         10         26       66.5       8.35       66.5       65.4       30.6      23.61       0.00       0.00      0.000
1:48pm              0          3         10         25       66.5       8.35       66.5       65.4       29.6      23.60       0.00       0.00      0.000
1:50pm              4          1         10         26       66.3       8.35       66.3       65.2       30.4      23.62       0.00       0.00      0.000
1:52pm              6          0         10         26       66.3       8.35       66.3       65.2       30.4      23.60       0.00       0.00      0.000
1:54pm              4          1         10         26       66.3       8.35       66.3       65.2       30.4      23.60       0.00       0.00      0.000
1:56pm              7          3         10         26       66.3       8.35       66.3       65.2       30.4      23.61       0.00       0.00      0.000
1:58pm             45         11         17         27       66.2       8.35       66.0       65.2       31.3      23.61       0.00       0.00      0.000
2:00pm             72          6         17         27       65.5       8.35       65.5       64.5       30.7      23.62       0.00       0.00      0.000
2:02pm             64          1          7         29       64.7       8.35       64.7       63.8       31.7      23.61       0.00       0.00      0.000
2:04pm             58          4         11         31       63.9       8.35       63.9       63.2       32.7      23.62       0.00       0.00      0.000
2:06pm             20          3         11         35       62.6       8.35       62.6       62.1       34.6      23.62       0.00       0.00      0.000
2:08pm             12          3         11         37       61.5       8.35       61.5       61.2       35.0      23.61       0.00       0.00      0.000
2:10pm             50          1         11         38       61.1       8.35       61.1       60.9       35.3      23.63       0.00       0.00      0.000
2:12pm             57          4         11         38       60.6       8.35       60.6       60.4       34.9      23.62       0.00       0.00      0.000
2:14pm             76          8         11         39       60.1       8.35       59.1       59.9       35.1      23.62       0.00       0.00      0.000
2:16pm             64          6         11         42       59.7       8.35       59.2       59.8       36.6      23.62       0.00       0.00      0.000
2:18pm             93          9         14         47       58.8       8.35       57.2       59.3       38.6      23.62       0.00       0.00      0.000
